Toy Story,Tom Hanks,Tim Allen,Don Rickles,Wallace Shawn,John Ratzenberger,Annie Potts,John Morris,Laurie Metcalf,R. Lee Ermey,Penn Jillette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jumanji,Robin Williams,Jonathan Hyde,Kirsten Dunst,Bonnie Hunt,Bebe Neuwirth,David Alan Grier,Patricia Clarkson,James Handy,Malcolm Stewart,Darryl Henriques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Father of the Bride Part II,Steve Martin,Diane Keaton,Martin Short,Kimberly Williams-Paisley,George Newbern,Kieran Culkin,BD Wong,Peter Michael Goetz,Kate McGregor-Stewart,Jane Adams,Eugene Levy,Lori Alan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat,Al Pacino,Robert De Niro,Val Kilmer,Jon Voight,Tom Sizemore,Diane Venora,Amy Brenneman,Ashley Judd,Mykelti Williamson,Natalie Portman,Ted Levine,Tom Noonan,Hank Azaria,Wes Studi,Dennis Haysbert,Danny Trejo,Henry Rollins,William Fichtner,Kevin Gage,Susan Traylor,Jeremy Piven,Xander Berkeley,Begonya Plaza,Rick Avery,Steven Ford,Paul Herman,Brian Libby,Thomas Rosales Jr.,Yvonne Zima,Bud Cort,Martin Ferrero,Robert Miranda,Philip Ettington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoldenEye,Pierce Brosnan,Sean Bean,Izabella Scorupco,Famke Janssen,Joe Don Baker,Judi Dench,Gottfried John,Robbie Coltrane,Alan Cumming,Tcheky Karyo,Desmond Llewelyn,Samantha Bond,Michael Kitchen,Simon Kunz,Billy J. Mitchell,Constantine Gregory,Minnie Driver,Michelle Arthur,Ravil Isyanov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The American President,Michael Douglas,Annette Bening,Michael J. Fox,Martin Sheen,Anna Deavere Smith,Samantha Mathis,David Paymer,Richard Dreyfuss,Nina Siemaszko,Wendie Malick,Beau Billingslea,Joshua Malina,Clement von Franckenstein,John Mahoney,Gabriel Jarret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dracula: Dead and Loving It,Leslie Nielsen,Mel Brooks,Amy Yasbeck,Peter MacNicol,Harvey Korman,Steven Weber,Megan Cavanagh,Gregg Binkley,Anne Bancroft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balto,Kevin Bacon,Bob Hoskins,Bridget Fonda,Jim Cummings,Jack Angel,Danny Mann,Robbie Rist,Frank Welker,Miriam Margolyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cutthroat Island,Geena Davis,Matthew Modine,Frank Langella,Maury Chaykin,Patrick Malahide,Stan Shaw,Rex Linn,Paul Dillon,Christopher Masterson,Harris Yulin,Angus Wright,Richard Leaf,Rupert Vansittart,Nick Bartlett,David Bailie,Christopher Adamson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casino,Robert De Niro,Sharon Stone,Joe Pesci,James Woods,Don Rickles,Alan King,Kevin Pollak,L.Q. Jones,Frank Vincent,Richard Riehle,Catherine Scorsese,Vinny Vella,John Bloom,Joseph Rigano,Joseph P. Reidy,Carl Ciarfalio,Clem Caserta,Paul Herman,Frank Adonis,Anthony Russell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sense and Sensibility,Kate Winslet,Emma Thompson,Hugh Grant,Tom Wilkinson,Alan Rickman,Hugh Laurie,Imelda Staunton,Robert Hardy,Oliver Ford Davies,James Fleet,Harriet Walter,Gemma Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Four Rooms,Tim Roth,Antonio Banderas,Jennifer Beals,Madonna,Marisa Tomei,Bruce Willis,Quentin Tarantino,Valeria Golino,Lili Taylor,Ione Skye,Alicia Witt,David Proval,Tamlyn Tomita,Kathy Griffin,Paul Calderon,Salma Hayek,Marc Lawrence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ace Ventura: When Nature Calls,Jim Carrey,Ian McNeice,Simon Callow,Bob Gunton,Sophie Okonedo,Adewale Akinnuoye-Agbaje,Bruce Spence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
